valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
381	1	millon_valor_000381_parte_0001.txt	1000000	1	1000000	381	11272702028	COMPLETO
382	1	millon_valor_000382_parte_0001.txt	1000000	1000001	2000000	382	11267832985	COMPLETO
383	1	millon_valor_000383_parte_0001.txt	1000000	2000001	3000000	383	11270142566	COMPLETO
384	1	millon_valor_000384_parte_0001.txt	1000000	3000001	4000000	384	11268600331	COMPLETO
385	1	millon_valor_000385_parte_0001.txt	1000000	4000001	5000000	385	11272481551	COMPLETO
386	1	millon_valor_000386_parte_0001.txt	1000000	5000001	6000000	386	11270754996	COMPLETO
387	1	millon_valor_000387_parte_0001.txt	1000000	6000001	7000000	387	11270988708	COMPLETO
388	1	millon_valor_000388_parte_0001.txt	1000000	7000001	8000000	388	11270370158	COMPLETO
389	1	millon_valor_000389_parte_0001.txt	1000000	8000001	9000000	389	11266183028	COMPLETO
390	1	millon_valor_000390_parte_0001.txt	1000000	9000001	10000000	390	11270440154	COMPLETO
391	1	millon_valor_000391_parte_0001.txt	1000000	10000001	11000000	391	11274101191	COMPLETO
392	1	millon_valor_000392_parte_0001.txt	1000000	11000001	12000000	392	11268677001	COMPLETO
393	1	millon_valor_000393_parte_0001.txt	1000000	12000001	13000000	393	11271635675	COMPLETO
394	1	millon_valor_000394_parte_0001.txt	1000000	13000001	14000000	394	11269502253	COMPLETO
395	1	millon_valor_000395_parte_0001.txt	1000000	14000001	15000000	395	11272175156	COMPLETO
396	1	millon_valor_000396_parte_0001.txt	1000000	15000001	16000000	396	11267844642	COMPLETO
397	1	millon_valor_000397_parte_0001.txt	1000000	16000001	17000000	397	11269509612	COMPLETO
398	1	millon_valor_000398_parte_0001.txt	1000000	17000001	18000000	398	11269753543	COMPLETO
399	1	millon_valor_000399_parte_0001.txt	1000000	18000001	19000000	399	11268642651	COMPLETO
400	1	millon_valor_000400_parte_0001.txt	1000000	19000001	20000000	400	11270023169	COMPLETO
