valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
81	1	secuencias_valor_000081_parte_0001.txt	1000000	1	1000000	81	11267769464	COMPLETO
82	1	secuencias_valor_000082_parte_0001.txt	1000000	1000001	2000000	82	11267033195	COMPLETO
83	1	secuencias_valor_000083_parte_0001.txt	1000000	2000001	3000000	83	11268314147	COMPLETO
84	1	secuencias_valor_000084_parte_0001.txt	1000000	3000001	4000000	84	11268130578	COMPLETO
85	1	secuencias_valor_000085_parte_0001.txt	1000000	4000001	5000000	85	11268168820	COMPLETO
86	1	secuencias_valor_000086_parte_0001.txt	1000000	5000001	6000000	86	11267158763	COMPLETO
87	1	secuencias_valor_000087_parte_0001.txt	1000000	6000001	7000000	87	11267569640	COMPLETO
88	1	secuencias_valor_000088_parte_0001.txt	1000000	7000001	8000000	88	11269466196	COMPLETO
89	1	secuencias_valor_000089_parte_0001.txt	1000000	8000001	9000000	89	11275643623	COMPLETO
90	1	secuencias_valor_000090_parte_0001.txt	1000000	9000001	10000000	90	11270516606	COMPLETO
91	1	secuencias_valor_000091_parte_0001.txt	1000000	10000001	11000000	91	11272462702	COMPLETO
92	1	secuencias_valor_000092_parte_0001.txt	1000000	11000001	12000000	92	11270827808	COMPLETO
93	1	secuencias_valor_000093_parte_0001.txt	1000000	12000001	13000000	93	11269275890	COMPLETO
94	1	secuencias_valor_000094_parte_0001.txt	1000000	13000001	14000000	94	11271003443	COMPLETO
95	1	secuencias_valor_000095_parte_0001.txt	1000000	14000001	15000000	95	11269351283	COMPLETO
96	1	secuencias_valor_000096_parte_0001.txt	1000000	15000001	16000000	96	11268891344	COMPLETO
97	1	secuencias_valor_000097_parte_0001.txt	1000000	16000001	17000000	97	11274638393	COMPLETO
98	1	secuencias_valor_000098_parte_0001.txt	1000000	17000001	18000000	98	11265576169	COMPLETO
99	1	secuencias_valor_000099_parte_0001.txt	1000000	18000001	19000000	99	11269361341	COMPLETO
100	1	secuencias_valor_000100_parte_0001.txt	1000000	19000001	20000000	100	11267076229	COMPLETO
