valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
441	1	millon_valor_000441_parte_0001.txt	1000000	1	1000000	441	11266528797	COMPLETO
442	1	millon_valor_000442_parte_0001.txt	1000000	1000001	2000000	442	11267473193	COMPLETO
443	1	millon_valor_000443_parte_0001.txt	1000000	2000001	3000000	443	11268157267	COMPLETO
444	1	millon_valor_000444_parte_0001.txt	1000000	3000001	4000000	444	11267105904	COMPLETO
445	1	millon_valor_000445_parte_0001.txt	1000000	4000001	5000000	445	11267849680	COMPLETO
446	1	millon_valor_000446_parte_0001.txt	1000000	5000001	6000000	446	11274110542	COMPLETO
447	1	millon_valor_000447_parte_0001.txt	1000000	6000001	7000000	447	11268954164	COMPLETO
448	1	millon_valor_000448_parte_0001.txt	1000000	7000001	8000000	448	11270760666	COMPLETO
449	1	millon_valor_000449_parte_0001.txt	1000000	8000001	9000000	449	11268405168	COMPLETO
450	1	millon_valor_000450_parte_0001.txt	1000000	9000001	10000000	450	11271569877	COMPLETO
451	1	millon_valor_000451_parte_0001.txt	1000000	10000001	11000000	451	11270296757	COMPLETO
452	1	millon_valor_000452_parte_0001.txt	1000000	11000001	12000000	452	11270848215	COMPLETO
453	1	millon_valor_000453_parte_0001.txt	1000000	12000001	13000000	453	11271321400	COMPLETO
454	1	millon_valor_000454_parte_0001.txt	1000000	13000001	14000000	454	11266468726	COMPLETO
455	1	millon_valor_000455_parte_0001.txt	1000000	14000001	15000000	455	11273046489	COMPLETO
456	1	millon_valor_000456_parte_0001.txt	1000000	15000001	16000000	456	11271704036	COMPLETO
457	1	millon_valor_000457_parte_0001.txt	1000000	16000001	17000000	457	11271277311	COMPLETO
458	1	millon_valor_000458_parte_0001.txt	1000000	17000001	18000000	458	11271129545	COMPLETO
459	1	millon_valor_000459_parte_0001.txt	1000000	18000001	19000000	459	11266556229	COMPLETO
460	1	millon_valor_000460_parte_0001.txt	1000000	19000001	20000000	460	11268440033	COMPLETO
461	1	millon_valor_000461_parte_0001.txt	1000000	20000001	21000000	461	11269165986	COMPLETO
462	1	millon_valor_000462_parte_0001.txt	1000000	21000001	22000000	462	11267728008	COMPLETO
463	1	millon_valor_000463_parte_0001.txt	1000000	22000001	23000000	463	11272989500	COMPLETO
464	1	millon_valor_000464_parte_0001.txt	1000000	23000001	24000000	464	11267110136	COMPLETO
465	1	millon_valor_000465_parte_0001.txt	1000000	24000001	25000000	465	11268380904	COMPLETO
466	1	millon_valor_000466_parte_0001.txt	1000000	25000001	26000000	466	11268684659	COMPLETO
467	1	millon_valor_000467_parte_0001.txt	1000000	26000001	27000000	467	11269427911	COMPLETO
468	1	millon_valor_000468_parte_0001.txt	1000000	27000001	28000000	468	11270334519	COMPLETO
469	1	millon_valor_000469_parte_0001.txt	1000000	28000001	29000000	469	11268031696	COMPLETO
470	1	millon_valor_000470_parte_0001.txt	1000000	29000001	30000000	470	11269368332	COMPLETO
471	1	millon_valor_000471_parte_0001.txt	1000000	30000001	31000000	471	11271783430	COMPLETO
472	1	millon_valor_000472_parte_0001.txt	1000000	31000001	32000000	472	11268809926	COMPLETO
473	1	millon_valor_000473_parte_0001.txt	1000000	32000001	33000000	473	11273936462	COMPLETO
474	1	millon_valor_000474_parte_0001.txt	1000000	33000001	34000000	474	11270991503	COMPLETO
475	1	millon_valor_000475_parte_0001.txt	1000000	34000001	35000000	475	11270060563	COMPLETO
476	1	millon_valor_000476_parte_0001.txt	1000000	35000001	36000000	476	11269269704	COMPLETO
477	1	millon_valor_000477_parte_0001.txt	1000000	36000001	37000000	477	11271347543	COMPLETO
478	1	millon_valor_000478_parte_0001.txt	1000000	37000001	38000000	478	11267585431	COMPLETO
479	1	millon_valor_000479_parte_0001.txt	1000000	38000001	39000000	479	11270898804	COMPLETO
480	1	millon_valor_000480_parte_0001.txt	1000000	39000001	40000000	480	11270282708	COMPLETO
