valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
401	1	millon_valor_000401_parte_0001.txt	1000000	1	1000000	401	11273222010	COMPLETO
402	1	millon_valor_000402_parte_0001.txt	1000000	1000001	2000000	402	11270695413	COMPLETO
403	1	millon_valor_000403_parte_0001.txt	1000000	2000001	3000000	403	11268367891	COMPLETO
404	1	millon_valor_000404_parte_0001.txt	1000000	3000001	4000000	404	11271161194	COMPLETO
405	1	millon_valor_000405_parte_0001.txt	1000000	4000001	5000000	405	11268493394	COMPLETO
406	1	millon_valor_000406_parte_0001.txt	1000000	5000001	6000000	406	11271563668	COMPLETO
407	1	millon_valor_000407_parte_0001.txt	1000000	6000001	7000000	407	11270966762	COMPLETO
408	1	millon_valor_000408_parte_0001.txt	1000000	7000001	8000000	408	11272359442	COMPLETO
409	1	millon_valor_000409_parte_0001.txt	1000000	8000001	9000000	409	11270930206	COMPLETO
410	1	millon_valor_000410_parte_0001.txt	1000000	9000001	10000000	410	11268222543	COMPLETO
411	1	millon_valor_000411_parte_0001.txt	1000000	10000001	11000000	411	11271255370	COMPLETO
412	1	millon_valor_000412_parte_0001.txt	1000000	11000001	12000000	412	11270376452	COMPLETO
413	1	millon_valor_000413_parte_0001.txt	1000000	12000001	13000000	413	11269608704	COMPLETO
414	1	millon_valor_000414_parte_0001.txt	1000000	13000001	14000000	414	11270468659	COMPLETO
415	1	millon_valor_000415_parte_0001.txt	1000000	14000001	15000000	415	11270140000	COMPLETO
416	1	millon_valor_000416_parte_0001.txt	1000000	15000001	16000000	416	11271485258	COMPLETO
417	1	millon_valor_000417_parte_0001.txt	1000000	16000001	17000000	417	11269179174	COMPLETO
418	1	millon_valor_000418_parte_0001.txt	1000000	17000001	18000000	418	11267974003	COMPLETO
419	1	millon_valor_000419_parte_0001.txt	1000000	18000001	19000000	419	11267651142	COMPLETO
420	1	millon_valor_000420_parte_0001.txt	1000000	19000001	20000000	420	11272952882	COMPLETO
421	1	millon_valor_000421_parte_0001.txt	1000000	20000001	21000000	421	11273959447	COMPLETO
422	1	millon_valor_000422_parte_0001.txt	1000000	21000001	22000000	422	11268699020	COMPLETO
423	1	millon_valor_000423_parte_0001.txt	1000000	22000001	23000000	423	11269682837	COMPLETO
424	1	millon_valor_000424_parte_0001.txt	1000000	23000001	24000000	424	11273012288	COMPLETO
425	1	millon_valor_000425_parte_0001.txt	1000000	24000001	25000000	425	11270371015	COMPLETO
426	1	millon_valor_000426_parte_0001.txt	1000000	25000001	26000000	426	11269958496	COMPLETO
427	1	millon_valor_000427_parte_0001.txt	1000000	26000001	27000000	427	11268484305	COMPLETO
428	1	millon_valor_000428_parte_0001.txt	1000000	27000001	28000000	428	11267596550	COMPLETO
429	1	millon_valor_000429_parte_0001.txt	1000000	28000001	29000000	429	11268399494	COMPLETO
430	1	millon_valor_000430_parte_0001.txt	1000000	29000001	30000000	430	11272069409	COMPLETO
431	1	millon_valor_000431_parte_0001.txt	1000000	30000001	31000000	431	11270708582	COMPLETO
432	1	millon_valor_000432_parte_0001.txt	1000000	31000001	32000000	432	11272502205	COMPLETO
433	1	millon_valor_000433_parte_0001.txt	1000000	32000001	33000000	433	11269402456	COMPLETO
434	1	millon_valor_000434_parte_0001.txt	1000000	33000001	34000000	434	11268720700	COMPLETO
435	1	millon_valor_000435_parte_0001.txt	1000000	34000001	35000000	435	11267829230	COMPLETO
436	1	millon_valor_000436_parte_0001.txt	1000000	35000001	36000000	436	11274273472	COMPLETO
437	1	millon_valor_000437_parte_0001.txt	1000000	36000001	37000000	437	11274640096	COMPLETO
438	1	millon_valor_000438_parte_0001.txt	1000000	37000001	38000000	438	11268182346	COMPLETO
439	1	millon_valor_000439_parte_0001.txt	1000000	38000001	39000000	439	11271910051	COMPLETO
440	1	millon_valor_000440_parte_0001.txt	1000000	39000001	40000000	440	11268612635	COMPLETO
