valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
111	1	millon_valor_000111_parte_0001.txt	1000000	1	1000000	111	11269042553	COMPLETO
112	1	millon_valor_000112_parte_0001.txt	1000000	1000001	2000000	112	11270764785	COMPLETO
113	1	millon_valor_000113_parte_0001.txt	1000000	2000001	3000000	113	11270227686	COMPLETO
114	1	millon_valor_000114_parte_0001.txt	1000000	3000001	4000000	114	11271528719	COMPLETO
115	1	millon_valor_000115_parte_0001.txt	1000000	4000001	5000000	115	11267231968	COMPLETO
116	1	millon_valor_000116_parte_0001.txt	1000000	5000001	6000000	116	11269500918	COMPLETO
117	1	millon_valor_000117_parte_0001.txt	1000000	6000001	7000000	117	11269884777	COMPLETO
118	1	millon_valor_000118_parte_0001.txt	1000000	7000001	8000000	118	11268318972	COMPLETO
119	1	millon_valor_000119_parte_0001.txt	1000000	8000001	9000000	119	11268850544	COMPLETO
120	1	millon_valor_000120_parte_0001.txt	1000000	9000001	10000000	120	11272285778	COMPLETO
121	1	millon_valor_000121_parte_0001.txt	1000000	10000001	11000000	121	11269591240	COMPLETO
122	1	millon_valor_000122_parte_0001.txt	1000000	11000001	12000000	122	11268640511	COMPLETO
123	1	millon_valor_000123_parte_0001.txt	1000000	12000001	13000000	123	11269156144	COMPLETO
124	1	millon_valor_000124_parte_0001.txt	1000000	13000001	14000000	124	11271074786	COMPLETO
125	1	millon_valor_000125_parte_0001.txt	1000000	14000001	15000000	125	11268658762	COMPLETO
126	1	millon_valor_000126_parte_0001.txt	1000000	15000001	16000000	126	11269002949	COMPLETO
127	1	millon_valor_000127_parte_0001.txt	1000000	16000001	17000000	127	11271740436	COMPLETO
128	1	millon_valor_000128_parte_0001.txt	1000000	17000001	18000000	128	11268577685	COMPLETO
129	1	millon_valor_000129_parte_0001.txt	1000000	18000001	19000000	129	11267870521	COMPLETO
130	1	millon_valor_000130_parte_0001.txt	1000000	19000001	20000000	130	11268924307	COMPLETO
