valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
101	1	millon_valor_000101_parte_0001.txt	1000000	1	1000000	101	11267355476	COMPLETO
102	1	millon_valor_000102_parte_0001.txt	1000000	1000001	2000000	102	11269339593	COMPLETO
103	1	millon_valor_000103_parte_0001.txt	1000000	2000001	3000000	103	11268992797	COMPLETO
104	1	millon_valor_000104_parte_0001.txt	1000000	3000001	4000000	104	11269802122	COMPLETO
105	1	millon_valor_000105_parte_0001.txt	1000000	4000001	5000000	105	11271336898	COMPLETO
106	1	millon_valor_000106_parte_0001.txt	1000000	5000001	6000000	106	11270626419	COMPLETO
107	1	millon_valor_000107_parte_0001.txt	1000000	6000001	7000000	107	11271729901	COMPLETO
108	1	millon_valor_000108_parte_0001.txt	1000000	7000001	8000000	108	11269234852	COMPLETO
109	1	millon_valor_000109_parte_0001.txt	1000000	8000001	9000000	109	11269288413	COMPLETO
110	1	millon_valor_000110_parte_0001.txt	1000000	9000001	10000000	110	11268708399	COMPLETO
