valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
131	1	millon_valor_000131_parte_0001.txt	1000000	1	1000000	131	11271506231	COMPLETO
132	1	millon_valor_000132_parte_0001.txt	1000000	1000001	2000000	132	11271251152	COMPLETO
133	1	millon_valor_000133_parte_0001.txt	1000000	2000001	3000000	133	11272953205	COMPLETO
134	1	millon_valor_000134_parte_0001.txt	1000000	3000001	4000000	134	11272278852	COMPLETO
135	1	millon_valor_000135_parte_0001.txt	1000000	4000001	5000000	135	11273119715	COMPLETO
136	1	millon_valor_000136_parte_0001.txt	1000000	5000001	6000000	136	11266510865	COMPLETO
137	1	millon_valor_000137_parte_0001.txt	1000000	6000001	7000000	137	11269066938	COMPLETO
138	1	millon_valor_000138_parte_0001.txt	1000000	7000001	8000000	138	11271028327	COMPLETO
139	1	millon_valor_000139_parte_0001.txt	1000000	8000001	9000000	139	11269469611	COMPLETO
140	1	millon_valor_000140_parte_0001.txt	1000000	9000001	10000000	140	11271823358	COMPLETO
141	1	millon_valor_000141_parte_0001.txt	1000000	10000001	11000000	141	11269122893	COMPLETO
142	1	millon_valor_000142_parte_0001.txt	1000000	11000001	12000000	142	11270130396	COMPLETO
143	1	millon_valor_000143_parte_0001.txt	1000000	12000001	13000000	143	11271621244	COMPLETO
144	1	millon_valor_000144_parte_0001.txt	1000000	13000001	14000000	144	11271034752	COMPLETO
145	1	millon_valor_000145_parte_0001.txt	1000000	14000001	15000000	145	11271501615	COMPLETO
146	1	millon_valor_000146_parte_0001.txt	1000000	15000001	16000000	146	11273132936	COMPLETO
147	1	millon_valor_000147_parte_0001.txt	1000000	16000001	17000000	147	11271649886	COMPLETO
148	1	millon_valor_000148_parte_0001.txt	1000000	17000001	18000000	148	11274706128	COMPLETO
149	1	millon_valor_000149_parte_0001.txt	1000000	18000001	19000000	149	11270696549	COMPLETO
150	1	millon_valor_000150_parte_0001.txt	1000000	19000001	20000000	150	11273083884	COMPLETO
151	1	millon_valor_000151_parte_0001.txt	1000000	20000001	21000000	151	11272921227	COMPLETO
152	1	millon_valor_000152_parte_0001.txt	1000000	21000001	22000000	152	11269417700	COMPLETO
153	1	millon_valor_000153_parte_0001.txt	1000000	22000001	23000000	153	11268193200	COMPLETO
154	1	millon_valor_000154_parte_0001.txt	1000000	23000001	24000000	154	11268496771	COMPLETO
155	1	millon_valor_000155_parte_0001.txt	1000000	24000001	25000000	155	11270920995	COMPLETO
156	1	millon_valor_000156_parte_0001.txt	1000000	25000001	26000000	156	11272936427	COMPLETO
157	1	millon_valor_000157_parte_0001.txt	1000000	26000001	27000000	157	11269488284	COMPLETO
158	1	millon_valor_000158_parte_0001.txt	1000000	27000001	28000000	158	11271578562	COMPLETO
159	1	millon_valor_000159_parte_0001.txt	1000000	28000001	29000000	159	11271650707	COMPLETO
160	1	millon_valor_000160_parte_0001.txt	1000000	29000001	30000000	160	11273118017	COMPLETO
161	1	millon_valor_000161_parte_0001.txt	1000000	30000001	31000000	161	11270398265	COMPLETO
162	1	millon_valor_000162_parte_0001.txt	1000000	31000001	32000000	162	11269935271	COMPLETO
163	1	millon_valor_000163_parte_0001.txt	1000000	32000001	33000000	163	11267233303	COMPLETO
164	1	millon_valor_000164_parte_0001.txt	1000000	33000001	34000000	164	11269333227	COMPLETO
165	1	millon_valor_000165_parte_0001.txt	1000000	34000001	35000000	165	11271987396	COMPLETO
166	1	millon_valor_000166_parte_0001.txt	1000000	35000001	36000000	166	11267823602	COMPLETO
167	1	millon_valor_000167_parte_0001.txt	1000000	36000001	37000000	167	11272317473	COMPLETO
168	1	millon_valor_000168_parte_0001.txt	1000000	37000001	38000000	168	11269107487	COMPLETO
169	1	millon_valor_000169_parte_0001.txt	1000000	38000001	39000000	169	11271632750	COMPLETO
170	1	millon_valor_000170_parte_0001.txt	1000000	39000001	40000000	170	11268822009	COMPLETO
171	1	millon_valor_000171_parte_0001.txt	1000000	40000001	41000000	171	11272575240	COMPLETO
172	1	millon_valor_000172_parte_0001.txt	1000000	41000001	42000000	172	11269403473	COMPLETO
173	1	millon_valor_000173_parte_0001.txt	1000000	42000001	43000000	173	11272490184	COMPLETO
174	1	millon_valor_000174_parte_0001.txt	1000000	43000001	44000000	174	11270969650	COMPLETO
175	1	millon_valor_000175_parte_0001.txt	1000000	44000001	45000000	175	11273060561	COMPLETO
176	1	millon_valor_000176_parte_0001.txt	1000000	45000001	46000000	176	11269851216	COMPLETO
177	1	millon_valor_000177_parte_0001.txt	1000000	46000001	47000000	177	11271032716	COMPLETO
178	1	millon_valor_000178_parte_0001.txt	296000	47000001	47296000	178	3334027477	DETENIDO
