valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
481	1	millon_valor_000481_parte_0001.txt	1000000	1	1000000	481	11270849159	COMPLETO
482	1	millon_valor_000482_parte_0001.txt	1000000	1000001	2000000	482	11269217447	COMPLETO
483	1	millon_valor_000483_parte_0001.txt	1000000	2000001	3000000	483	11268570841	COMPLETO
484	1	millon_valor_000484_parte_0001.txt	1000000	3000001	4000000	484	11276226874	COMPLETO
485	1	millon_valor_000485_parte_0001.txt	1000000	4000001	5000000	485	11268627879	COMPLETO
486	1	millon_valor_000486_parte_0001.txt	1000000	5000001	6000000	486	11270761085	COMPLETO
487	1	millon_valor_000487_parte_0001.txt	1000000	6000001	7000000	487	11272092374	COMPLETO
488	1	millon_valor_000488_parte_0001.txt	1000000	7000001	8000000	488	11271187639	COMPLETO
489	1	millon_valor_000489_parte_0001.txt	1000000	8000001	9000000	489	11268227962	COMPLETO
490	1	millon_valor_000490_parte_0001.txt	1000000	9000001	10000000	490	11270926103	COMPLETO
491	1	millon_valor_000491_parte_0001.txt	1000000	10000001	11000000	491	11271831348	COMPLETO
492	1	millon_valor_000492_parte_0001.txt	1000000	11000001	12000000	492	11268853891	COMPLETO
493	1	millon_valor_000493_parte_0001.txt	1000000	12000001	13000000	493	11269877688	COMPLETO
494	1	millon_valor_000494_parte_0001.txt	1000000	13000001	14000000	494	11272324359	COMPLETO
495	1	millon_valor_000495_parte_0001.txt	1000000	14000001	15000000	495	11265899833	COMPLETO
496	1	millon_valor_000496_parte_0001.txt	1000000	15000001	16000000	496	11270119722	COMPLETO
497	1	millon_valor_000497_parte_0001.txt	1000000	16000001	17000000	497	11270996863	COMPLETO
498	1	millon_valor_000498_parte_0001.txt	1000000	17000001	18000000	498	11268987617	COMPLETO
499	1	millon_valor_000499_parte_0001.txt	1000000	18000001	19000000	499	11268091343	COMPLETO
500	1	millon_valor_000500_parte_0001.txt	1000000	19000001	20000000	500	11262782159	COMPLETO
501	1	millon_valor_000501_parte_0001.txt	1000000	20000001	21000000	501	11273492377	COMPLETO
502	1	millon_valor_000502_parte_0001.txt	1000000	21000001	22000000	502	11267978564	COMPLETO
503	1	millon_valor_000503_parte_0001.txt	1000000	22000001	23000000	503	11269555698	COMPLETO
504	1	millon_valor_000504_parte_0001.txt	1000000	23000001	24000000	504	11269640593	COMPLETO
505	1	millon_valor_000505_parte_0001.txt	1000000	24000001	25000000	505	11269976823	COMPLETO
506	1	millon_valor_000506_parte_0001.txt	1000000	25000001	26000000	506	11268981295	COMPLETO
507	1	millon_valor_000507_parte_0001.txt	1000000	26000001	27000000	507	11275302991	COMPLETO
508	1	millon_valor_000508_parte_0001.txt	1000000	27000001	28000000	508	11270344004	COMPLETO
509	1	millon_valor_000509_parte_0001.txt	1000000	28000001	29000000	509	11272803724	COMPLETO
510	1	millon_valor_000510_parte_0001.txt	1000000	29000001	30000000	510	11273878643	COMPLETO
511	1	millon_valor_000511_parte_0001.txt	1000000	30000001	31000000	511	11271005569	COMPLETO
512	1	millon_valor_000512_parte_0001.txt	1000000	31000001	32000000	512	11271152247	COMPLETO
513	1	millon_valor_000513_parte_0001.txt	1000000	32000001	33000000	513	11271138070	COMPLETO
514	1	millon_valor_000514_parte_0001.txt	1000000	33000001	34000000	514	11268600698	COMPLETO
515	1	millon_valor_000515_parte_0001.txt	1000000	34000001	35000000	515	11271469162	COMPLETO
516	1	millon_valor_000516_parte_0001.txt	1000000	35000001	36000000	516	11272990120	COMPLETO
517	1	millon_valor_000517_parte_0001.txt	1000000	36000001	37000000	517	11272520763	COMPLETO
