valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
276	1	millon_valor_000276_parte_0001.txt	1000000	1	1000000	276	11270311551	COMPLETO
277	1	millon_valor_000277_parte_0001.txt	1000000	1000001	2000000	277	11269136247	COMPLETO
278	1	millon_valor_000278_parte_0001.txt	1000000	2000001	3000000	278	11272991836	COMPLETO
279	1	millon_valor_000279_parte_0001.txt	1000000	3000001	4000000	279	11270357088	COMPLETO
280	1	millon_valor_000280_parte_0001.txt	1000000	4000001	5000000	280	11269291280	COMPLETO
281	1	millon_valor_000281_parte_0001.txt	1000000	5000001	6000000	281	11269750617	COMPLETO
282	1	millon_valor_000282_parte_0001.txt	1000000	6000001	7000000	282	11271876953	COMPLETO
283	1	millon_valor_000283_parte_0001.txt	1000000	7000001	8000000	283	11269471714	COMPLETO
284	1	millon_valor_000284_parte_0001.txt	1000000	8000001	9000000	284	11273909489	COMPLETO
285	1	millon_valor_000285_parte_0001.txt	1000000	9000001	10000000	285	11271136919	COMPLETO
286	1	millon_valor_000286_parte_0001.txt	1000000	10000001	11000000	286	11266822952	COMPLETO
287	1	millon_valor_000287_parte_0001.txt	1000000	11000001	12000000	287	11270523883	COMPLETO
288	1	millon_valor_000288_parte_0001.txt	1000000	12000001	13000000	288	11271088427	COMPLETO
289	1	millon_valor_000289_parte_0001.txt	1000000	13000001	14000000	289	11271711172	COMPLETO
290	1	millon_valor_000290_parte_0001.txt	1000000	14000001	15000000	290	11268203722	COMPLETO
291	1	millon_valor_000291_parte_0001.txt	1000000	15000001	16000000	291	11265967448	COMPLETO
292	1	millon_valor_000292_parte_0001.txt	1000000	16000001	17000000	292	11270859652	COMPLETO
293	1	millon_valor_000293_parte_0001.txt	1000000	17000001	18000000	293	11271678600	COMPLETO
294	1	millon_valor_000294_parte_0001.txt	1000000	18000001	19000000	294	11271749993	COMPLETO
295	1	millon_valor_000295_parte_0001.txt	1000000	19000001	20000000	295	11272661263	COMPLETO
296	1	millon_valor_000296_parte_0001.txt	1000000	20000001	21000000	296	11270499075	COMPLETO
297	1	millon_valor_000297_parte_0001.txt	1000000	21000001	22000000	297	11269143491	COMPLETO
298	1	millon_valor_000298_parte_0001.txt	1000000	22000001	23000000	298	11272163248	COMPLETO
