valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
178	1	secuencias_valor_000178_parte_0001.txt	1000000	1	1000000	178	11269336772	COMPLETO
179	1	secuencias_valor_000179_parte_0001.txt	1000000	1000001	2000000	179	11267991625	COMPLETO
180	1	secuencias_valor_000180_parte_0001.txt	1000000	2000001	3000000	180	11269311413	COMPLETO
181	1	secuencias_valor_000181_parte_0001.txt	1000000	3000001	4000000	181	11266499770	COMPLETO
182	1	secuencias_valor_000182_parte_0001.txt	1000000	4000001	5000000	182	11269588249	COMPLETO
183	1	secuencias_valor_000183_parte_0001.txt	1000000	5000001	6000000	183	11267277399	COMPLETO
184	1	secuencias_valor_000184_parte_0001.txt	1000000	6000001	7000000	184	11271227714	COMPLETO
185	1	secuencias_valor_000185_parte_0001.txt	1000000	7000001	8000000	185	11269604491	COMPLETO
186	1	secuencias_valor_000186_parte_0001.txt	1000000	8000001	9000000	186	11270263614	COMPLETO
187	1	secuencias_valor_000187_parte_0001.txt	1000000	9000001	10000000	187	11271206210	COMPLETO
188	1	secuencias_valor_000188_parte_0001.txt	1000000	10000001	11000000	188	11274982380	COMPLETO
189	1	secuencias_valor_000189_parte_0001.txt	1000000	11000001	12000000	189	11271930922	COMPLETO
190	1	secuencias_valor_000190_parte_0001.txt	1000000	12000001	13000000	190	11271522144	COMPLETO
191	1	secuencias_valor_000191_parte_0001.txt	1000000	13000001	14000000	191	11267965002	COMPLETO
192	1	secuencias_valor_000192_parte_0001.txt	1000000	14000001	15000000	192	11270186015	COMPLETO
193	1	secuencias_valor_000193_parte_0001.txt	1000000	15000001	16000000	193	11268636371	COMPLETO
194	1	secuencias_valor_000194_parte_0001.txt	1000000	16000001	17000000	194	11268121400	COMPLETO
195	1	secuencias_valor_000195_parte_0001.txt	1000000	17000001	18000000	195	11269129020	COMPLETO
196	1	secuencias_valor_000196_parte_0001.txt	1000000	18000001	19000000	196	11271107429	COMPLETO
197	1	secuencias_valor_000197_parte_0001.txt	1000000	19000001	20000000	197	11270813897	COMPLETO
198	1	secuencias_valor_000198_parte_0001.txt	1000000	20000001	21000000	198	11271957738	COMPLETO
199	1	secuencias_valor_000199_parte_0001.txt	1000000	21000001	22000000	199	11271567561	COMPLETO
200	1	secuencias_valor_000200_parte_0001.txt	1000000	22000001	23000000	200	11269007605	COMPLETO
201	1	secuencias_valor_000201_parte_0001.txt	1000000	23000001	24000000	201	11271791141	COMPLETO
202	1	secuencias_valor_000202_parte_0001.txt	1000000	24000001	25000000	202	11271993780	COMPLETO
203	1	secuencias_valor_000203_parte_0001.txt	1000000	25000001	26000000	203	11272241811	COMPLETO
204	1	secuencias_valor_000204_parte_0001.txt	1000000	26000001	27000000	204	11273276080	COMPLETO
205	1	secuencias_valor_000205_parte_0001.txt	1000000	27000001	28000000	205	11274062208	COMPLETO
206	1	secuencias_valor_000206_parte_0001.txt	1000000	28000001	29000000	206	11272114412	COMPLETO
207	1	secuencias_valor_000207_parte_0001.txt	1000000	29000001	30000000	207	11271619162	COMPLETO
208	1	secuencias_valor_000208_parte_0001.txt	1000000	30000001	31000000	208	11271407172	COMPLETO
209	1	secuencias_valor_000209_parte_0001.txt	1000000	31000001	32000000	209	11275951113	COMPLETO
210	1	secuencias_valor_000210_parte_0001.txt	1000000	32000001	33000000	210	11268559843	COMPLETO
211	1	secuencias_valor_000211_parte_0001.txt	1000000	33000001	34000000	211	11269724098	COMPLETO
212	1	secuencias_valor_000212_parte_0001.txt	1000000	34000001	35000000	212	11269427150	COMPLETO
213	1	secuencias_valor_000213_parte_0001.txt	1000000	35000001	36000000	213	11271959014	COMPLETO
214	1	secuencias_valor_000214_parte_0001.txt	1000000	36000001	37000000	214	11270477086	COMPLETO
215	1	secuencias_valor_000215_parte_0001.txt	1000000	37000001	38000000	215	11270098173	COMPLETO
216	1	secuencias_valor_000216_parte_0001.txt	1000000	38000001	39000000	216	11270071272	COMPLETO
217	1	secuencias_valor_000217_parte_0001.txt	1000000	39000001	40000000	217	11271083626	COMPLETO
218	1	secuencias_valor_000218_parte_0001.txt	1000000	40000001	41000000	218	11269448101	COMPLETO
219	1	secuencias_valor_000219_parte_0001.txt	1000000	41000001	42000000	219	11269180032	COMPLETO
220	1	secuencias_valor_000220_parte_0001.txt	1000000	42000001	43000000	220	11269466256	COMPLETO
