valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
223	1	millon_valor_000223_parte_0001.txt	1000000	1	1000000	223	11272115781	COMPLETO
224	1	millon_valor_000224_parte_0001.txt	1000000	1000001	2000000	224	11272633973	COMPLETO
225	1	millon_valor_000225_parte_0001.txt	1000000	2000001	3000000	225	11270168882	COMPLETO
226	1	millon_valor_000226_parte_0001.txt	1000000	3000001	4000000	226	11270276074	COMPLETO
227	1	millon_valor_000227_parte_0001.txt	1000000	4000001	5000000	227	11272725647	COMPLETO
228	1	millon_valor_000228_parte_0001.txt	1000000	5000001	6000000	228	11268024312	COMPLETO
229	1	millon_valor_000229_parte_0001.txt	1000000	6000001	7000000	229	11269602714	COMPLETO
230	1	millon_valor_000230_parte_0001.txt	1000000	7000001	8000000	230	11268885626	COMPLETO
231	1	millon_valor_000231_parte_0001.txt	1000000	8000001	9000000	231	11270219545	COMPLETO
232	1	millon_valor_000232_parte_0001.txt	1000000	9000001	10000000	232	11271013087	COMPLETO
233	1	millon_valor_000233_parte_0001.txt	1000000	10000001	11000000	233	11271018912	COMPLETO
234	1	millon_valor_000234_parte_0001.txt	1000000	11000001	12000000	234	11270781623	COMPLETO
235	1	millon_valor_000235_parte_0001.txt	1000000	12000001	13000000	235	11271961478	COMPLETO
236	1	millon_valor_000236_parte_0001.txt	1000000	13000001	14000000	236	11268541166	COMPLETO
237	1	millon_valor_000237_parte_0001.txt	1000000	14000001	15000000	237	11272631998	COMPLETO
238	1	millon_valor_000238_parte_0001.txt	1000000	15000001	16000000	238	11268501657	COMPLETO
239	1	millon_valor_000239_parte_0001.txt	1000000	16000001	17000000	239	11266987209	COMPLETO
240	1	millon_valor_000240_parte_0001.txt	1000000	17000001	18000000	240	11269652080	COMPLETO
241	1	millon_valor_000241_parte_0001.txt	1000000	18000001	19000000	241	11269286921	COMPLETO
242	1	millon_valor_000242_parte_0001.txt	1000000	19000001	20000000	242	11269394188	COMPLETO
243	1	millon_valor_000243_parte_0001.txt	1000000	20000001	21000000	243	11265691360	COMPLETO
244	1	millon_valor_000244_parte_0001.txt	1000000	21000001	22000000	244	11270069299	COMPLETO
245	1	millon_valor_000245_parte_0001.txt	1000000	22000001	23000000	245	11266930040	COMPLETO
246	1	millon_valor_000246_parte_0001.txt	1000000	23000001	24000000	246	11268827567	COMPLETO
247	1	millon_valor_000247_parte_0001.txt	1000000	24000001	25000000	247	11269570388	COMPLETO
248	1	millon_valor_000248_parte_0001.txt	1000000	25000001	26000000	248	11269934387	COMPLETO
249	1	millon_valor_000249_parte_0001.txt	1000000	26000001	27000000	249	11271633095	COMPLETO
250	1	millon_valor_000250_parte_0001.txt	1000000	27000001	28000000	250	11268814274	COMPLETO
251	1	millon_valor_000251_parte_0001.txt	1000000	28000001	29000000	251	11268603158	COMPLETO
252	1	millon_valor_000252_parte_0001.txt	1000000	29000001	30000000	252	11273064039	COMPLETO
253	1	millon_valor_000253_parte_0001.txt	1000000	30000001	31000000	253	11272032377	COMPLETO
254	1	millon_valor_000254_parte_0001.txt	1000000	31000001	32000000	254	11269837972	COMPLETO
255	1	millon_valor_000255_parte_0001.txt	1000000	32000001	33000000	255	11267381074	COMPLETO
256	1	millon_valor_000256_parte_0001.txt	1000000	33000001	34000000	256	11270332804	COMPLETO
257	1	millon_valor_000257_parte_0001.txt	1000000	34000001	35000000	257	11272918440	COMPLETO
258	1	millon_valor_000258_parte_0001.txt	1000000	35000001	36000000	258	11269032301	COMPLETO
259	1	millon_valor_000259_parte_0001.txt	1000000	36000001	37000000	259	11271857932	COMPLETO
260	1	millon_valor_000260_parte_0001.txt	1000000	37000001	38000000	260	11270112580	COMPLETO
261	1	millon_valor_000261_parte_0001.txt	1000000	38000001	39000000	261	11269919271	COMPLETO
262	1	millon_valor_000262_parte_0001.txt	1000000	39000001	40000000	262	11268420858	COMPLETO
263	1	millon_valor_000263_parte_0001.txt	1000000	40000001	41000000	263	11270550024	COMPLETO
264	1	millon_valor_000264_parte_0001.txt	1000000	41000001	42000000	264	11268578241	COMPLETO
265	1	millon_valor_000265_parte_0001.txt	1000000	42000001	43000000	265	11272549288	COMPLETO
266	1	millon_valor_000266_parte_0001.txt	1000000	43000001	44000000	266	11268385864	COMPLETO
267	1	millon_valor_000267_parte_0001.txt	1000000	44000001	45000000	267	11270867269	COMPLETO
268	1	millon_valor_000268_parte_0001.txt	1000000	45000001	46000000	268	11271376218	COMPLETO
269	1	millon_valor_000269_parte_0001.txt	1000000	46000001	47000000	269	11271545151	COMPLETO
270	1	millon_valor_000270_parte_0001.txt	1000000	47000001	48000000	270	11267261605	COMPLETO
271	1	millon_valor_000271_parte_0001.txt	1000000	48000001	49000000	271	11269107504	COMPLETO
272	1	millon_valor_000272_parte_0001.txt	1000000	49000001	50000000	272	11267066886	COMPLETO
273	1	millon_valor_000273_parte_0001.txt	1000000	50000001	51000000	273	11273418665	COMPLETO
274	1	millon_valor_000274_parte_0001.txt	1000000	51000001	52000000	274	11269769391	COMPLETO
275	1	millon_valor_000275_parte_0001.txt	1000000	52000001	53000000	275	11267340431	COMPLETO
